Unnamed: 0,id,host_id,host_is_superhost,host_listings_count,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,review_scores_rating,price_normal
4411,10860190,50442915,0,3.0,57,8028,41.37602,2.13145,1,1,1,1.0,3.0,1.0,14.0,31,0,0,15,15,212,3,7,2.6390573296152584
14489,32567717,83912266,0,13.0,26,8003,41.37573,2.18999,18,2,1,1.0,1.0,4.0,20.0,1,0,10,31,57,328,2,3,2.995732273553991
5922,15336016,97119453,0,3.0,54,8019,41.41387,2.21357,1,1,1,1.0,1.0,1.0,24.0,2,0,17,39,59,240,17,7,3.1780538303479458
13067,30118021,226305554,0,1.0,3,8001,41.37834,2.16827,1,1,3,1.0,1.0,2.0,25.0,1,0,0,0,0,0,2,6,3.218875824868201
5413,13819616,61420004,0,3.0,3,8003,41.38567,2.18329,1,1,2,1.5,1.0,2.0,69.0,1,0,1,22,52,52,59,6,4.23410650459726
15058,33396072,251588391,0,3.0,6,8013,41.39827,2.17724,1,1,2,1.5,1.0,1.0,65.0,1,0,14,30,56,57,1,7,4.174387269895637
551,821100,4311845,1,1.0,6,8015,41.37651,2.16261,1,0,6,1.0,2.0,4.0,100.0,2,0,5,5,11,158,57,7,4.605170185988092
11198,26210590,193618270,0,126.0,54,8026,41.41184,2.18472,1,0,9,2.0,3.0,5.0,360.0,3,0,18,44,72,189,3,5,5.886104031450156
3242,6759514,1391607,0,101.0,32,8025,41.40891,2.17351,1,0,4,1.0,2.0,2.0,135.0,3,0,3,10,10,170,3,6,4.90527477843843
13202,30409845,28914794,0,5.0,40,8029,41.39112,2.13998,18,2,1,0.0,1.0,1.0,50.0,1,0,0,0,0,3,0,8,3.912023005428146
13909,31797773,29157943,0,16.0,3,8003,41.37529,2.19019,21,0,4,1.0,1.0,1.0,100.0,32,0,4,4,4,204,1,0,4.605170185988092
11834,27421341,53080946,1,1.0,4,8019,41.40686,2.20678,1,1,2,1.0,1.0,1.0,50.0,2,0,2,5,11,269,46,7,3.912023005428146
8496,20939600,150549653,1,2.0,57,8014,41.36795,2.13367,1,1,5,1.5,1.0,4.0,80.0,2,0,0,14,15,15,18,7,4.382026634673881
16666,35176679,257177868,0,4.0,52,8021,41.39471,2.14708,1,1,2,3.0,1.0,1.0,70.0,1,0,12,12,12,12,0,8,4.248495242049359
3265,6811251,22062164,0,3.0,24,8031,41.43654,2.15994,1,1,1,1.0,1.0,1.0,46.0,1,0,28,58,88,363,2,6,3.828641396489095
5063,13088376,27159185,0,24.0,67,8013,41.39724,2.18153,1,0,6,1.0,3.0,4.0,135.0,1,0,4,31,61,146,17,6,4.90527477843843
8447,20825838,141746207,0,1.0,24,8032,41.42476,2.15358,20,1,2,1.0,1.0,1.0,34.0,1,0,24,28,28,29,2,7,3.5263605246161616
2099,3453772,7106074,0,3.0,57,8004,41.37377,2.16693,1,1,2,1.0,1.0,1.0,28.0,10,0,0,0,0,130,7,7,3.332204510175204
7004,18187460,51298462,0,1.0,54,8018,41.41585,2.19482,16,1,1,1.0,1.0,1.0,20.0,4,0,0,0,0,0,0,8,2.995732273553991
7295,18751085,9222205,0,1.0,57,8004,41.37395,2.16397,1,1,2,1.0,1.0,1.0,35.0,5,0,0,0,0,0,0,7,3.555348061489413
3672,7998100,42219291,0,1.0,57,8004,41.37207,2.1444,1,0,5,1.0,2.0,3.0,114.0,5,0,5,14,44,134,22,6,4.736198448394496
15060,33396701,251588391,0,3.0,6,8013,41.39884,2.17734,1,1,2,1.5,1.0,1.0,53.0,1,0,11,30,56,57,5,7,3.970291913552122
10207,24191631,5878688,1,62.0,32,8025,41.4071,2.17259,24,0,6,2.0,3.0,5.0,100.0,2,0,4,11,21,272,76,7,4.605170185988092
16155,34679041,28245179,0,1.0,58,8017,41.40897,2.1092,1,1,2,1.0,1.0,1.0,50.0,1,0,18,48,78,79,2,7,3.912023005428146
4418,10874948,1503151,0,77.0,6,8015,41.38044,2.15598,24,1,1,2.0,1.0,1.0,25.0,32,0,29,59,69,227,0,8,3.218875824868201
16658,35160223,121910455,0,1.0,57,8004,41.37386,2.15484,21,0,2,2.0,1.0,1.0,60.0,31,0,29,59,89,211,0,8,4.0943445622221
10615,24977218,80951609,0,6.0,54,8018,41.39298,2.1879,1,0,3,1.0,1.0,2.0,150.0,2,0,12,28,52,133,58,7,5.010635294096256
8943,21722081,158023606,0,131.0,11,8041,41.41131,2.17741,1,0,5,1.0,2.0,3.0,138.0,1,0,1,10,14,247,40,7,4.927253685157205
10092,23918581,157746231,0,38.0,32,8025,41.40746,2.17813,1,0,6,1.0,2.0,3.0,142.0,2,0,14,37,64,339,5,6,4.955827057601261
22,66037,323105,0,6.0,3,8003,41.38322,2.18234,1,0,6,2.0,2.0,3.0,190.0,3,0,3,8,10,50,26,6,5.247024072160486
2935,5858602,4006184,0,16.0,6,8013,41.39554,2.1763,1,0,2,1.0,2.0,2.0,80.0,1,0,2,22,52,137,52,7,4.382026634673881
10434,24539639,39370811,0,2.0,57,8014,41.36916,2.1386,1,1,1,1.0,1.0,1.0,25.0,3,0,12,32,59,329,35,7,3.218875824868201
6599,17350868,7984818,0,1.0,3,8001,41.38023,2.16733,1,1,3,1.0,1.0,2.0,100.0,1,0,0,0,0,0,0,7,4.605170185988092
10178,24126151,21534713,1,1.0,57,8014,41.37141,2.14018,1,1,2,1.0,1.0,1.0,40.0,2,0,0,0,0,6,16,7,3.688879454113936
10215,24198132,5878688,1,62.0,6,8025,41.40771,2.17227,24,0,4,1.0,2.0,3.0,100.0,2,0,5,12,36,298,35,7,4.605170185988092
4835,12355911,143513,0,1.0,24,8035,41.42191,2.1466,1,1,2,1.0,1.0,1.0,37.0,2,0,0,0,0,0,0,7,3.610917912644224
16767,35283816,85470082,0,2.0,6,8009,41.39721,2.16858,1,0,5,1.0,1.0,3.0,99.0,2,0,3,4,11,11,2,2,4.59511985013459
13314,30728309,224476064,0,1.0,5,8009,41.39075,2.16737,1,0,5,1.0,2.0,2.0,15.0,31,0,3,3,33,308,1,7,2.70805020110221
13104,30187366,32779017,0,1.0,6,8010,41.38959,2.17355,1,1,1,1.5,1.0,1.0,60.0,3,0,24,48,59,59,0,8,4.0943445622221
17173,35667424,268316894,0,2.0,57,8014,41.3743,2.13899,1,1,2,2.0,1.0,1.0,25.0,4,0,5,23,53,144,1,7,3.218875824868201
10591,24929992,86551441,0,36.0,57,8004,41.37363,2.16382,1,0,4,1.0,2.0,3.0,70.0,3,0,15,45,69,154,5,7,4.248495242049359
16808,35326069,173970796,0,14.0,3,8002,41.38251,2.17662,1,1,3,1.0,1.0,2.0,120.0,2,0,12,42,72,162,1,4,4.787491742782046
56,135513,664196,0,1.0,17,8005,41.39841,2.20613,1,0,5,1.5,2.0,3.0,80.0,2,0,1,11,41,316,27,7,4.382026634673881
3413,7267861,38019231,0,1.0,16,8004,41.3719,2.15862,10,1,1,1.0,1.0,1.0,500.0,1,0,0,7,37,312,0,6,6.214608098422191
2856,5608098,2688205,1,17.0,32,8013,41.40215,2.17206,1,0,6,2.0,4.0,5.0,140.0,3,0,6,16,20,268,39,7,4.941642422609304
401,670546,3397801,0,3.0,6,8010,41.39013,2.16982,1,0,4,2.0,2.0,2.0,299.0,4,0,5,10,21,242,18,7,5.700443573390687
2987,6050419,1318630,0,4.0,6,8007,41.39112,2.16262,1,1,2,1.0,1.0,1.0,48.0,2,0,0,0,22,297,0,6,3.871201010907891
6607,17354965,74783196,0,1.0,15,8002,41.37976,2.17937,1,1,2,1.0,1.0,1.0,69.0,2,0,0,0,0,85,2,7,4.23410650459726
16570,35080955,182002295,0,1.0,44,8042,41.44057,2.17493,1,1,2,1.0,1.0,1.0,22.0,2,0,1,7,10,11,5,7,3.091042453358316
15754,34297965,5327687,0,2.0,17,8005,41.40363,2.20232,1,1,2,1.0,1.0,1.0,50.0,1,0,10,37,58,58,10,7,3.912023005428146
11530,26865335,2736874,0,19.0,6,8015,41.37538,2.16659,1,0,10,2.0,5.0,6.0,300.0,1,0,14,24,24,269,1,2,5.703782474656201
13178,30374999,228107451,0,1.0,15,8002,41.38037,2.17857,1,1,2,1.0,1.0,1.0,40.0,1,0,0,0,0,0,0,8,3.688879454113936
6556,17244118,43244180,0,6.0,5,8037,41.3977,2.16764,1,0,10,2.0,6.0,6.0,250.0,5,0,5,5,5,104,3,6,5.521460917862246
8783,21605974,1817464,0,1.0,30,8015,41.37751,2.15218,1,1,2,1.0,1.0,1.0,35.0,2,0,2,11,24,108,6,7,3.555348061489413
7261,18712102,5012760,0,1.0,7,8025,41.41131,2.16529,1,1,2,1.0,1.0,2.0,60.0,2,0,29,59,89,364,5,7,4.0943445622221
11825,27403837,144539951,0,1.0,18,8022,41.41073,2.13978,1,1,2,1.0,1.0,1.0,40.0,1,0,0,0,0,0,0,8,3.688879454113936
5783,14804782,42906962,0,8.0,19,8001,41.37913,2.17045,10,1,1,1.0,1.0,1.0,35.0,31,0,7,9,11,49,3,7,3.555348061489413
17371,35848310,150813542,0,2.0,30,8015,41.37952,2.15343,1,0,4,1.0,2.0,4.0,168.0,3,0,4,4,5,226,0,8,5.123963979403259
9318,22559267,7587496,0,1.0,21,8012,41.40352,2.15574,1,1,1,1.5,1.0,1.0,35.0,4,0,14,44,53,53,0,7,3.555348061489413
14915,33188102,157746231,0,38.0,6,8013,41.40484,2.1842,1,0,5,2.0,4.0,5.0,66.0,32,0,0,14,44,319,0,8,4.189654742026425
7236,18665298,21122341,1,1.0,21,8012,41.39952,2.16015,1,1,1,1.0,1.0,1.0,40.0,1,0,8,38,68,68,28,7,3.688879454113936
9764,23341085,173009446,0,1.0,54,8026,41.41248,2.18868,1,1,1,1.0,1.0,1.0,20.0,2,0,0,0,0,0,0,6,2.995732273553991
520,783729,3541314,0,3.0,15,8002,41.38171,2.17795,3,1,1,2.0,1.0,1.0,32.0,2,0,3,18,37,61,11,7,3.4657359027997265
1756,2738727,3039107,0,37.0,50,8015,41.37889,2.15486,1,0,5,1.0,2.0,3.0,116.0,2,0,9,19,49,324,27,6,4.7535901911063645
4510,11141343,55622196,0,2.0,57,8014,41.37486,2.14385,20,1,2,1.5,1.0,2.0,31.0,1,0,19,49,79,354,27,6,3.4339872044851463
15318,33773401,5881409,0,3.0,67,8013,41.40035,2.182,1,1,2,1.0,1.0,1.0,80.0,2,0,10,17,39,220,6,5,4.382026634673881
11713,27185025,204697593,0,2.0,21,8023,41.41438,2.14771,20,1,2,1.5,1.0,1.0,42.0,1,0,21,51,81,356,0,8,3.737669618283368
5265,13532126,58026109,0,1.0,3,8003,41.38687,2.17849,1,1,2,1.5,1.0,1.0,45.0,1,0,0,0,0,0,0,6,3.80666248977032
1070,1343256,7285494,1,1.0,6,8013,41.4018,2.17604,1,0,4,1.0,1.0,2.0,59.0,2,0,2,6,8,245,60,7,4.07753744390572
8343,20583255,10693680,0,30.0,54,8018,41.40878,2.19232,1,0,6,1.0,4.0,4.0,73.0,32,0,0,0,30,305,0,8,4.290459441148391
8422,20778297,148899743,0,1.0,25,8036,41.3891,2.15595,1,0,4,1.0,2.0,3.0,55.0,32,0,0,0,0,13,1,7,4.007333185232471
12141,28078086,16820050,1,1.0,56,8003,41.38708,2.18169,1,0,3,1.0,2.0,3.0,79.0,30,0,0,26,34,34,3,7,4.3694478524670215
6613,17363018,2511955,0,1.0,6,8015,41.37943,2.15217,1,1,1,1.0,1.0,1.0,160.0,2,0,29,59,89,364,0,8,5.075173815233827
15186,33599824,253190544,1,1.0,3,8002,41.38098,2.17971,1,1,2,1.5,1.0,1.0,65.0,4,0,5,30,60,60,17,7,4.174387269895637
666,937331,5036026,1,1.0,25,8008,41.39358,2.15462,1,0,8,2.0,3.0,5.0,150.0,2,0,0,4,9,166,64,7,5.010635294096256
16824,35342427,11270706,0,1.0,3,8003,41.39041,2.18062,1,1,2,1.5,1.0,1.0,70.0,2,0,1,1,1,191,2,7,4.248495242049359
717,976595,3744544,0,33.0,5,8007,41.39021,2.16495,1,0,4,2.0,2.0,3.0,186.0,3,0,10,23,34,296,35,7,5.225746673713202
13659,31376150,14268834,0,1.0,65,8024,41.40764,2.15427,1,1,1,1.0,1.0,1.0,22.0,10,0,0,0,0,251,0,8,3.091042453358316
12900,29867676,13885084,0,1.0,48,8027,41.41624,2.18753,1,1,2,1.0,1.0,1.0,35.0,3,0,2,4,17,18,20,6,3.555348061489413
1700,2584879,1205494,0,11.0,5,8037,41.39858,2.16804,18,1,2,4.0,1.0,1.0,80.0,1,0,15,40,60,335,1,7,4.382026634673881
1878,3056888,10637895,0,3.0,21,8024,41.40538,2.15758,1,1,1,2.0,1.0,1.0,35.0,7,0,6,25,55,330,0,8,3.555348061489413
13889,31758760,238115846,0,1.0,21,8012,41.40232,2.15791,1,0,4,1.0,1.0,2.0,35.0,1,0,5,23,53,77,2,7,3.555348061489413
17437,35892573,268526100,0,6.0,19,8001,41.38022,2.16858,1,1,3,2.0,1.0,2.0,119.0,1,0,26,56,86,361,0,8,4.77912349311153
7323,18819488,131028869,0,5.0,6,8007,41.39066,2.16618,1,0,4,1.0,2.0,3.0,176.0,1,0,5,13,13,218,8,7,5.170483995038151
16219,34734016,16239482,0,1.0,19,8001,41.37904,2.16888,12,1,2,1.0,1.0,1.0,65.0,3,0,0,0,7,12,1,6,4.174387269895637
6803,17664135,120226192,0,2.0,62,8042,41.43265,2.16561,1,1,2,1.0,1.0,1.0,39.0,1,0,27,57,87,362,3,6,3.6635616461296463
15446,33920274,254922474,0,8.0,3,8001,41.38358,2.16655,18,1,3,0.5,1.0,2.0,250.0,2,0,18,48,78,353,1,7,5.521460917862246
7068,18341183,126807269,0,3.0,2,8032,41.42273,2.15442,1,1,2,1.0,1.0,1.0,45.0,3,0,30,60,90,330,2,6,3.80666248977032
7143,18474526,127497866,0,2.0,21,8012,41.40361,2.15289,1,1,2,1.0,1.0,1.0,54.0,1,0,10,25,25,184,39,7,3.9889840465642745
13352,30784125,338116,0,55.0,57,8004,41.37538,2.14748,1,0,5,2.0,2.0,3.0,167.0,1,0,4,16,45,320,10,6,5.117993812416755
12951,29956484,225229234,0,1.0,59,8021,41.39493,2.14792,1,1,2,1.0,1.0,1.0,49.0,1,0,14,39,67,67,37,7,3.8918202981106265
8993,21777891,63115079,0,1.0,0,8025,41.40791,2.1654,1,1,2,1.0,1.0,1.0,10.0,1,0,0,0,0,0,0,8,2.302585092994046
6864,17799808,19192506,0,1.0,50,8015,41.37787,2.15869,1,1,2,2.0,1.0,2.0,70.0,1,0,7,7,7,7,3,7,4.248495242049359
8171,20208646,36449179,0,1.0,54,8020,41.41327,2.20025,1,1,4,1.0,1.0,1.0,65.0,3,0,0,0,8,9,3,7,4.174387269895637
9740,23299418,72984879,1,15.0,3,8002,41.38337,2.17777,24,0,2,1.0,1.0,2.0,58.0,65,0,2,2,2,243,0,8,4.060443010546419
17622,36033122,262333190,0,3.0,54,8041,41.41491,2.18006,1,1,1,1.0,1.0,1.0,28.0,3,0,14,14,14,265,0,8,3.332204510175204
8131,20091884,3457742,0,1.0,6,8015,41.3766,2.16366,1,1,2,1.0,1.0,1.0,81.0,2,0,20,46,76,166,7,7,4.394449154672439
6594,17343121,105256248,0,2.0,57,8038,41.36531,2.13907,1,1,1,1.0,1.0,1.0,40.0,1,0,0,1,1,249,0,7,3.688879454113936
8675,21390908,139063900,1,38.0,6,8036,41.3938,2.15199,1,0,6,2.0,3.0,4.0,155.0,1,0,5,8,8,207,21,7,5.043425116919247
13924,31821793,7843388,0,48.0,6,8007,41.38946,2.16262,1,0,2,1.0,1.0,1.0,33.0,1,0,0,1,1,1,0,8,3.49650756146648
91,216699,1118232,1,2.0,3,8003,41.38484,2.17796,1,1,2,1.0,1.0,1.0,42.0,4,0,0,0,1,196,11,7,3.737669618283368
2578,4831886,19853388,0,3.0,3,8002,41.38507,2.1762,1,1,2,1.0,1.0,1.0,67.0,2,0,12,12,12,202,30,6,4.204692619390966
16437,34957819,139121900,0,4.0,6,8013,41.39776,2.17786,1,1,2,1.0,1.0,2.0,35.0,1,0,30,60,90,365,6,7,3.555348061489413
8387,20687928,103462966,0,1.0,6,8013,41.40277,2.18102,16,1,2,1.0,1.0,1.0,20.0,1,0,2,4,4,159,46,6,2.995732273553991
10282,24324563,10547296,0,131.0,6,8013,41.39696,2.17532,1,0,3,1.0,1.0,2.0,150.0,2,0,3,7,9,108,38,7,5.010635294096256
18180,36380207,246649866,0,3.0,15,8002,41.37897,2.18079,1,0,4,1.0,2.0,2.0,69.0,1,0,9,9,9,9,0,8,4.23410650459726
17813,36163341,171236207,0,116.0,6,8025,41.40749,2.17687,1,0,6,1.0,2.0,4.0,125.0,1,0,5,25,52,327,0,8,4.8283137373023015
16246,34762077,260661662,0,2.0,54,8005,41.39713,2.20287,1,0,2,1.0,1.0,1.0,100.0,1,0,5,25,55,146,5,7,4.605170185988092
3897,8747441,45883803,1,1.0,30,8007,41.38937,2.16163,1,0,4,2.5,2.0,2.0,151.0,3,0,6,13,20,92,38,7,5.017279836814924
14705,32878683,194270248,1,14.0,3,8003,41.3807,2.18961,1,0,4,1.0,1.0,2.0,120.0,30,0,0,0,0,0,8,7,4.787491742782046
1350,1889121,4226509,1,3.0,6,8008,41.39524,2.15356,1,0,12,6.0,6.0,6.0,300.0,4,0,13,22,32,275,24,7,5.703782474656201
9601,23134782,161428440,0,5.0,59,8021,41.39478,2.14177,24,0,10,5.0,4.0,10.0,1700.0,32,0,23,53,83,173,0,8,7.438383530044307
16671,35179829,264899432,0,2.0,0,8025,41.40778,2.16761,24,0,5,2.0,4.0,4.0,162.0,2,0,30,53,53,53,0,8,5.087596335232384
3778,8278517,1447144,0,71.0,56,8003,41.38536,2.17989,1,0,6,1.0,3.0,5.0,90.0,1,0,27,50,80,355,0,5,4.499809670330265
15428,33906973,3479346,0,16.0,3,8002,41.3862,2.17341,1,0,4,1.0,3.0,3.0,149.0,31,0,4,4,4,188,1,7,5.003946305945459
15780,34305195,258723902,0,4.0,15,8002,41.37892,2.17838,24,0,8,3.0,3.0,6.0,500.0,1,0,15,35,56,144,8,7,6.214608098422191
12518,29119333,54820821,0,20.0,6,8025,41.40453,2.17179,1,0,6,1.0,3.0,4.0,100.0,2,0,0,4,21,245,5,6,4.605170185988092
4052,9469358,1269810,0,3.0,6,8009,41.39555,2.16872,1,1,1,1.0,1.0,1.0,120.0,3,0,29,59,82,82,1,7,4.787491742782046
14636,32786210,246578729,0,1.0,54,8027,41.41462,2.19071,1,1,2,1.0,1.0,1.0,26.0,2,0,0,0,0,0,14,6,3.258096538021482
7708,19483565,136609090,0,1.0,54,8020,41.41495,2.1941,1,1,2,1.0,1.0,1.0,45.0,5,0,0,0,0,0,0,8,3.80666248977032
10998,25790301,184642867,0,10.0,56,8003,41.38624,2.18072,1,1,1,1.5,1.0,1.0,20.0,32,0,3,5,5,13,2,7,2.995732273553991
2763,5323307,27580391,0,1.0,6,8015,41.37978,2.14908,3,1,2,1.0,1.0,1.0,69.0,1,0,0,0,0,0,0,8,4.23410650459726
3582,7742710,12387689,0,1.0,6,8013,41.40427,2.17966,1,0,4,1.0,2.0,3.0,151.0,2,0,20,50,72,98,34,7,5.017279836814924
7108,18438898,10582280,0,9.0,6,8013,41.39975,2.17328,1,0,6,1.0,3.0,6.0,200.0,3,0,0,0,0,0,2,6,5.298317366548036
6374,16780481,111248996,0,2.0,19,8001,41.38033,2.1725,1,1,1,1.0,1.0,1.0,20.0,3,0,5,20,33,33,36,7,2.995732273553991
12450,29003496,218478110,1,2.0,5,8001,41.38856,2.17034,1,1,2,1.0,1.0,1.0,62.0,1,0,8,36,58,324,20,7,4.127134385045092
9492,22952251,4459553,0,206.0,6,8013,41.39749,2.18273,1,0,5,1.0,3.0,5.0,350.0,2,0,15,26,48,323,6,6,5.857933154483459
5064,13090869,38991803,1,1.0,3,8001,41.38213,2.16477,1,1,2,1.5,1.0,1.0,64.0,3,0,0,8,38,128,25,7,4.158883083359672
3603,7814701,41141290,0,1.0,57,8014,41.37942,2.13506,20,1,1,1.0,1.0,1.0,20.0,15,0,21,51,81,356,0,6,2.995732273553991
10936,25567613,192853160,0,1.0,57,8004,41.37205,2.14769,1,0,4,1.0,2.0,2.0,120.0,2,0,6,28,47,322,24,6,4.787491742782046
6951,18046053,3376710,0,44.0,6,8015,41.3793,2.15786,1,0,5,2.0,4.0,4.0,75.0,32,0,0,0,0,268,0,7,4.31748811353631
7759,19536711,134698146,0,36.0,16,8004,41.37242,2.1741,1,0,4,1.0,3.0,3.0,92.0,1,0,1,7,14,115,4,7,4.5217885770490405
9215,22266072,109015029,0,1.0,6,8015,41.37802,2.15054,10,1,2,1.0,1.0,1.0,33.0,2,0,10,26,54,54,2,7,3.49650756146648
8900,21721514,158023606,0,131.0,57,8014,41.37548,2.14538,1,0,4,1.0,1.0,2.0,128.0,1,0,6,19,44,298,11,6,4.852030263919617
10060,23858743,179216453,1,3.0,18,8023,41.40893,2.14479,1,1,2,1.0,1.0,2.0,30.0,1,0,1,2,22,91,105,7,3.4011973816621555
16320,34830088,260281929,1,2.0,3,8002,41.38261,2.1784,1,1,2,1.0,1.0,1.0,36.0,1,0,8,38,68,92,13,7,3.58351893845611
6019,15733398,46585783,0,1.0,21,8024,41.4047,2.15665,1,1,1,1.0,1.0,1.0,200.0,1,0,29,59,89,364,0,8,5.298317366548036
9864,23517823,168187518,0,2.0,6,8011,41.38707,2.16113,1,0,4,1.0,1.0,2.0,69.0,1,0,9,21,47,318,18,7,4.23410650459726
2957,5936979,1405013,0,15.0,6,8009,41.39371,2.17146,1,0,6,2.0,3.0,3.0,184.0,2,0,5,22,36,162,1,7,5.214935757608986
16191,34713268,260446189,0,2.0,21,8012,41.39975,2.15942,1,0,2,1.0,1.0,1.0,90.0,1,0,3,22,34,208,11,7,4.499809670330265
15211,33628114,148901099,0,8.0,6,8004,41.37605,2.16054,1,2,1,1.0,1.0,1.0,17.0,1,0,21,50,66,125,12,6,2.833213344056216
7523,19146144,94778667,1,2.0,7,8024,41.41401,2.16775,3,1,1,1.0,1.0,1.0,25.0,2,0,7,13,22,102,50,7,3.218875824868201
1104,1402772,612665,0,9.0,6,8010,41.39047,2.17497,1,0,4,1.0,1.0,2.0,128.0,3,0,5,9,19,184,23,6,4.852030263919617
13821,31612174,37032072,0,15.0,0,8025,41.40492,2.16723,3,1,1,5.0,5.0,1.0,18.0,31,0,9,32,32,282,0,8,2.8903717578961645
11149,26073727,44204205,0,2.0,48,8033,41.45004,2.19053,1,1,3,1.0,1.0,1.0,40.0,3,0,4,11,22,294,19,7,3.688879454113936
14074,32083457,236103433,1,4.0,3,8002,41.37906,2.1761,1,1,2,2.0,1.0,2.0,30.0,1,0,1,6,22,99,22,7,3.4011973816621555
14405,32492771,244128152,1,4.0,6,8011,41.3878,2.16168,1,1,2,1.0,1.0,1.0,52.0,2,0,0,1,8,86,16,7,3.951243718581428
1559,2308309,11786232,0,12.0,4,8019,41.40549,2.20983,1,0,6,2.0,2.0,4.0,100.0,2,0,0,0,0,0,2,6,4.605170185988092
2489,4584570,12284536,0,8.0,57,8004,41.37235,2.15819,1,0,2,1.0,1.0,1.0,60.0,30,0,7,37,67,152,7,6,4.0943445622221
16294,34799641,260532837,0,7.0,19,8001,41.38421,2.16712,1,1,3,1.0,1.0,2.0,80.0,1,0,22,52,82,357,6,7,4.382026634673881
17091,35601449,138300883,0,4.0,10,8003,41.38399,2.18206,1,0,2,1.0,1.0,1.0,85.0,2,0,5,17,28,284,0,8,4.442651256490317
3524,7590755,39806872,0,1.0,65,8024,41.40411,2.15282,1,1,2,1.0,1.0,1.0,150.0,6,0,0,0,0,0,0,7,5.010635294096256
4544,11264529,5471775,0,5.0,54,8020,41.40811,2.20551,10,0,6,1.0,2.0,2.0,65.0,32,0,0,21,21,30,0,7,4.174387269895637
12766,29620954,47171261,0,50.0,19,8001,41.37839,2.17271,1,0,2,1.0,1.0,3.0,48.0,32,0,0,14,44,319,0,8,3.871201010907891
3401,7216859,6731219,0,1.0,30,8015,41.38283,2.15444,1,1,2,2.0,1.0,1.0,55.0,1,0,25,55,85,85,2,7,4.007333185232471
13422,30921846,193107395,0,1.0,30,8015,41.38218,2.1551,1,0,7,1.0,4.0,5.0,85.0,2,0,3,26,45,312,12,7,4.442651256490317
18148,36352744,26165888,0,224.0,21,8012,41.39898,2.15977,20,0,6,2.0,4.0,4.0,300.0,32,0,28,58,88,363,0,8,5.703782474656201
9437,22863205,771458,0,15.0,67,8010,41.39402,2.17731,1,1,1,1.0,1.0,1.0,45.0,28,0,3,3,17,253,0,8,3.80666248977032
